id	title	author	source	primaryCategory	tags	relativePath
b941e7f5999960a2	التقدير التجريدي في النظرية النحوية العربية (نماذج من: (كتاب سيبويه))	أمل بنت محمد الشقير	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/35/4/1 التقدير التجريدي في النظرية النحوية العربية (نماذج من$ (كتاب سيبويه)).pdf
f36b1da3d1a5b1f0	التقنيات النصية التفاعلية، والأبعاد الجمالية في منصة: (تويتر): دراسةٌ تطبيقيةٌ عن تغريدات جائحة كورونا الشعرية (عائض القرني أنموذجاً)	د. منى بنت صالح الرشادة	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/34/2/8 التقنيات النصية التفاعلية، والأبعاد الجمالية في ... جائحة كورونا الشعرية (عائض القرني أنموذجاً).pdf
77d158278e883646	الثقافة التاريخية عند عرب الجاهلية: قراءةٌ في الشعر الجاهلي	د. عبد الرحمن بن إبراهيم الدباسي	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/9/1/3 الثقافة التاريخية عند عرب الجاهلية$ قراءةٌ في الشعر الجاهلي.pdf
bafde00aebb29099	الجارة في الشعر العربي القديم	أ. د. مرزوق بن صنيتان بن تنباك	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/3/2/2 الجارة في الشعر العربي القديم.pdf
1bf50968720e771f	الجريمة في الشعر العربي القديم: دراسةٌ وصفيةٌ تحليليةٌ	د. زكية بنت عوض الحارثي	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/35/3/10 الجريمة في الشعر العربي القديم$ دراسةٌ وصفيةٌ تحليليةٌ.pdf
4b583efbca415d96	الجمهور بين التراث البلاغي والدراسات البلاغية المعاصرة	أ. د. إبراهيم بن منصور التركي	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/32/2/1 الجمهور بين التراث البلاغي والدراسات البلاغية المعاصرة.pdf
856167e6c5819197	الرمز في القصة القصيرة الحديثة بالسعودية	د. فاطمة الزهراء بنت محمد سعيد	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/1/1 - 2/5 الرمز في القصة القصيرة الحديثة بالسعودية.pdf
017cbc5a159f5862	الرواية العربية الأنجلوفونية: صراع الهوية والخطاب	د. محمد بن عبد الرزاق عبد الغفار	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/23/1/1 الرواية العربية الأنجلوفونية$ صراع الهوية والخطاب.pdf
280f2535264cf4e4	السرد المستحيل في الرواية السعودية المعاصرة ((جبل حالية)، و(حين تحكي الروح)، و(الأفق الأعلى) أنموذجاً)	د. منصور بن محمد البلوي	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/37/1/3 السرد المستحيل في الرواية السعودية المعاصرة ... و(حين تحكي الروح)، و(الأفق الأعلى) أنموذجاً).pdf
5dd9cdfea9cb3b8c	الشعر القديم: نشأته، والموقف منه	أ. د. فضل بن عمار العماري	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/3/2/4 الشعر القديم$ نشأته، والموقف منه.pdf
